time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-11-03T08:33:05.198	1.449	-95.235	16.253	9710.996	0.676	0.400	0.016	186	11.826
2017-11-03T08:37:59.564	1.670	-95.151	16.509	0.000	1.097	0.406	0.020	187	18.882
2017-11-03T08:51:20.587	2.182	-94.145	15.436	0.000	1.806	0.406	0.133	188	12.791
2017-11-03T09:04:16.755	2.078	-94.599	15.608	60069.952	0.893	0.378	0.004	189	16.356
2017-11-03T09:13:34.557	1.360	-94.643	15.476	0.000	1.085	0.361	-0.112	190	8.173
2017-11-03T09:20:52.257	1.784	-95.141	16.626	0.000	1.134	0.282	-0.021	191	18.262
2017-11-03T09:25:57.424	2.078	-93.958	15.514	0.000	1.384	0.406	0.577	192	15.978
2017-11-03T09:26:56.981	1.393	-95.108	16.524	0.825	0.308	0.430	-0.066	193	8.538
2017-11-03T09:29:11.282	1.717	-94.655	15.725	41415.113	0.870	0.413	0.553	194	18.245
2017-11-03T14:22:04.953	2.339	-95.255	16.212	18905.060	1.257	0.505	-0.525	195	23.965
2017-11-03T14:34:50.978	1.824	-95.161	15.868	0.000	1.621	0.201	0.131	196	11.168
2017-11-03T14:52:28.015	2.270	-94.410	15.129	0.000	2.065	0.411	0.459	197	16.910
2017-11-03T15:19:08.261	1.600	-95.180	16.535	0.000	0.816	0.302	0.010	198	9.717
2017-11-03T16:30:34.249	1.869	-95.202	16.500	260.039	1.594	0.382	-0.655	199	16.004
2017-11-03T16:42:05.302	1.494	-95.404	16.343	0.000	0.898	0.324	0.080	200	10.000
2017-11-03T16:43:23.090	2.869	-93.016	14.132	0.000	1.846	0.566	0.099	201	17.952
2017-11-03T16:49:21.394	4.069	-94.485	15.328	0.000	1.916	0.456	0.132	202	34.861
2017-11-03T17:02:07.479	1.229	-98.451	16.638	1077.061	0.587	0.256	-0.001	203	7.976
2017-11-03T19:07:26.198	1.938	-95.193	16.512	0.000	1.212	0.299	0.046	204	19.989
2017-11-03T19:12:46.234	2.169	-95.084	16.597	0.000	2.261	0.428	-0.729	205	12.986
2017-11-03T19:27:09.202	2.323	-94.297	15.390	0.000	1.697	0.415	0.614	206	10.499
2017-11-03T19:29:48.054	2.381	-94.956	16.347	84.801	1.080	0.462	-0.236	207	8.895
2017-11-03T19:53:36.915	2.599	-94.703	17.670	0.000	2.540	0.528	0.008	208	35.000
2017-11-03T19:58:13.570	1.938	-94.931	15.586	0.000	1.819	0.418	0.599	209	16.029
2017-11-03T21:30:33.057	2.365	-94.180	17.415	0.000	1.769	0.488	-0.737	210	13.685
2017-11-03T22:03:38.444	2.060	-95.193	16.499	0.000	1.332	0.408	0.136	211	21.660
2017-11-03T22:36:21.068	1.837	-95.954	16.465	0.000	0.570	0.435	-0.556	212	16.003
2017-11-03T22:47:51.659	2.460	-94.873	17.070	0.000	2.595	0.423	0.029	213	21.590
2017-11-03T23:24:02.095	2.066	-95.264	16.286	0.000	0.905	0.372	0.117	214	21.004
2017-11-03T23:29:33.677	2.596	-94.719	15.412	69174.226	2.005	0.529	-0.110	215	17.611
2017-11-04T00:01:14.939	2.298	-95.129	15.613	108730.836	0.936	0.417	-0.842	216	13.000
2017-11-04T00:53:42.931	1.647	-95.089	16.571	0.000	1.320	0.345	-0.113	217	10.909
2017-11-04T01:34:50.480	1.995	-95.155	16.267	0.000	1.354	0.413	-0.953	218	15.904
2017-11-04T01:51:09.257	2.507	-94.646	16.592	0.000	1.270	0.442	0.081	219	20.965
2017-11-04T02:48:09.361	1.658	-94.398	15.165	0.000	1.587	0.170	0.082	220	9.697
2017-11-04T02:49:08.078	1.778	-95.292	15.983	168.854	0.826	0.284	-0.033	221	9.998
2017-11-04T03:19:20.282	2.064	-95.225	16.476	27523.417	1.052	0.381	0.107	222	22.776
2017-11-04T03:34:09.670	1.947	-95.138	16.552	0.000	1.172	0.359	0.110	223	22.788
2017-11-04T03:41:28.092	1.226	-95.247	16.284	0.000	0.639	0.329	-0.047	224	8.882
2017-11-04T04:06:25.002	2.054	-94.700	15.554	0.000	1.356	0.391	-0.290	225	13.502
2017-11-04T04:46:46.680	1.874	-95.298	15.977	0.000	1.557	0.416	0.039	226	20.292
2017-11-04T04:51:43.985	1.567	-94.659	15.743	58990.432	0.472	0.291	0.059	227	11.000
2017-11-04T05:07:02.322	2.212	-94.644	15.447	0.000	1.815	0.406	-0.037	228	17.663
2017-11-04T05:45:52.482	1.595	-94.555	15.517	0.000	1.616	0.360	-0.038	229	8.839
2017-11-04T06:29:38.664	1.542	-94.729	15.597	0.000	1.299	0.272	0.144	230	11.999
2017-11-04T06:48:31.046	2.549	-95.178	16.448	41277.568	1.446	0.456	0.120	231	30.400
2017-11-04T06:54:27.101	2.219	-93.817	15.185	0.000	1.244	0.402	-0.298	232	22.930
2017-11-04T07:33:46.613	1.733	-93.726	14.907	0.000	0.939	0.317	0.287	233	9.772
2017-11-04T07:36:08.304	2.674	-94.129	15.034	0.000	1.477	0.345	0.252	234	20.367
2017-11-04T07:51:37.852	1.373	-94.477	15.333	0.000	1.169	0.321	-0.089	235	8.788
2017-11-04T07:56:21.582	2.138	-94.226	16.850	0.000	2.312	0.375	-0.207	236	22.816
2017-11-04T07:58:01.458	2.337	-94.524	15.382	0.000	1.427	0.370	0.320	237	22.606
2017-11-04T08:09:08.540	1.790	-94.674	15.466	0.000	1.636	0.303	0.101	238	13.955
2017-11-04T08:17:52.308	2.320	-94.368	15.183	0.000	1.753	0.399	0.203	239	22.836
2017-11-04T08:18:52.385	2.079	-94.649	17.102	139792.917	2.025	0.349	-0.478	240	15.835
2017-11-04T08:23:22.383	1.852	-96.247	16.568	69647.959	1.508	0.507	0.283	241	14.826
2017-11-04T08:25:43.357	1.670	-94.970	16.395	130.700	0.883	0.424	0.419	242	9.728
2017-11-04T08:32:37.975	2.077	-95.301	16.061	23948.757	1.046	0.400	0.067	243	18.581
2017-11-04T08:37:32.688	1.821	-94.590	15.591	48789.699	1.315	0.358	-0.015	244	14.663
2017-11-04T12:49:15.060	2.125	-93.751	15.947	74889.850	1.457	0.515	0.024	245	9.991
2017-11-04T14:21:23.574	2.350	-94.522	15.357	0.000	1.635	0.368	0.635	246	14.000
2017-11-04T15:02:13.657	1.879	-95.473	16.611	0.000	1.055	0.373	0.060	247	19.000
2017-11-04T15:59:19.583	2.444	-95.886	17.145	161699.046	0.505	0.246	-0.037	248	5.338
2017-11-04T16:40:44.206	1.935	-94.626	16.600	0.000	1.030	0.418	-0.101	249	9.810
